Amplitude (A);Maksimalt utslag fra likevektslinjen.
Periode (T);Tiden for én hel svingning.
Frekvens (f);Antallet svingninger delt på tiden. Samme som 1 / periode.
Bølgelengde (λ);Avstanden mellom bølgetopper.
Svingning;Noe som går frem og tilbake fra en likevektsposisjon.
Bølge;Svingninger som brer seg i rommet. En utveksling av energi.
Mekaniske bølger;Bølger som trenger et medium (stoff) å bevege seg i. F.eks. lydbølger og vannbølger.
Elektromagnetiske bølger;Svingninger i elektriske og magnetiske felt som kan bevege seg gjennom tomt rom.
Tversbølger;Bølger hvor svingningene skjer normalt på bølgens retning. F.eks bølger på vann.
Langsbølger;Bølger hvor svingningene skjer på langs med bølgens bevegelse. F.eks lyd.
Lydbølger;Mekaniske langsbølger som brer seg som trykkvariasjoner (fortetninger og fortynninger) i et medium. Frekvensen plukkes opp i øret og registreres som lyd.
Stråling;Energi som beveger seg fra en kilde i stråler utover fra et punkt. Partikler eller bølger.
Resonans;Når noe påvirkes med en periodisk kraft som passer med egenfrekvensen og amplituden øker og øker.
Refleksjon;Når en bølge treffer en overflate og kastes tilbake. Innfallsvinkel er lik refleksjonsvinkel.
Brytning;Når bølger endrer retning i overgangen mellom to stoffer (medier) fordi bølgefarten endres.
Spredning;Når stråling spres i mange forskjellige retninger av å treffe en ujevn overflate eller å gå gjennom en gass.
Interferens;Når bølger legges sammen og blir større eller mindre enn bølgene hver for seg.
Dopplereffekten;Endring i observert frekvens når kilde og observatør beveger seg i forhold til hverandre.
Bøyning;Når bølger møter en hindring eller åpning med passende størrelse og brer seg rundt kantene.
Bølgefart (v);Farten som en bølge beveger seg med. Det samme som frekvens ganger bølgelengde.
Lysfarten (c);Farten som elektromagnetiske bølger beveger seg med i vakuum. Universets fartsgrense. Omtrent 300 000 km/s.
Strålingsintensitet;Hvor mye stråling som går gjennom et sted. Intensiteten avtar med kvadratet av avstanden.