Bakgrunnstråling (Ioniserende);Den strålingen mennesker i gjennomsnitt utsettes for.
Kalium-40;En naturlig forekommende radioaktiv isotop av kalium. Finnes altså i banan, men i svært, svært små doser.
Uran-238;Den vanligste isotopen av uran som finnes i jordskorpen. Henfaller til blant annet radon-222.
Radongass;En naturlig forekommende radioaktiv gass. Den største kilden til bakgrunnstråling fra naturlige kilder.
Becquerel (Bq);En måleenhet for radioaktivitet, eller bare *aktivitet*. Måler hvor mange atomkjerner som henfaller per sekund.
Gray (Gy);En måleenhet for stråledose. Måler hvor mye energi som absorberes i kroppen av strålingen.
Sievert (Sv);En måleenhet for biologisk effekt av stråling (effektiv dose). Kalles noen ganger også bare for *stråledose*.
Røntgenbilder;Høyfrekvent elektromagnetisk stråling som brukes i medisin for diagnostikk. Absorberes ulikt i ulike typer vev.
CT-scan;Består av flere røntgenbilder satt sammen for å få et bedre bilde av innsiden av kroppen.
Radiofarmakon;En radioaktiv isotop eller et stoff som inneholder radioaktive isotoper. Settes inn i kroppen til behandling eller diagnostikk.
Strålebehandling;Stråling sendes fra utsiden av kroppen eller settes inn i kroppen ved et radiofarmakon for å fjerne og hemme vekst av kreftceller.
PET-scan;Diagnostisk bruk av radiofarmakon som har henfall med beta+. Sender ut positroner som annihilerer og danner gammastråling som danner et bilde.
MR;Diagnostistering som ikke bruker ioniserende stråling. Bruker magnetisme.
Ultralyd;Diagnostisering som ikke bruker ioniserende stråling. Bruker høyfrekvente lydbølger.
Cellegift;Behandling som ikke bruker ioniserende stråling. Bruker kjemiske stoffer.